Designator,Mid X,Mid Y,Rotation,Layer
BT1,61.890399,-84.328,180.0,bottom
C1,147.066,-120.269,270.0,bottom
C10,63.9318,-46.6344,0.0,bottom
C11,64.3636,-68.7578,0.0,bottom
C12,68.834,-76.3524,180.0,bottom
C2,111.379,-108.966,270.0,bottom
C3,72.771,-109.093,270.0,bottom
C4,144.652999,-59.7248,90.0,bottom
C5,129.8702,-67.7926,0.0,bottom
C6,137.042538,-87.2528,90.0,bottom
C7,124.841,-78.74,0.0,bottom
C8,129.8702,-72.5932,0.0,bottom
C9,70.0825,-46.609,0.0,bottom
D1,56.1242,-142.234,0.0,bottom
D10,75.5552,-152.394,0.0,bottom
D11,75.5552,-162.554,0.0,bottom
D12,75.5552,-172.714,0.0,bottom
D13,85.2072,-142.234,0.0,bottom
D14,85.2072,-152.394,0.0,bottom
D15,85.3342,-162.554,0.0,bottom
D16,85.2072,-172.714,0.0,bottom
D17,94.8592,-142.234,0.0,bottom
D18,94.8592,-152.394,0.0,bottom
D19,94.8592,-162.554,0.0,bottom
D2,56.1242,-152.394,0.0,bottom
D20,94.8592,-172.714,0.0,bottom
D21,104.5112,-142.234,0.0,bottom
D22,104.5112,-152.394,0.0,bottom
D23,104.5112,-162.554,0.0,bottom
D24,104.5112,-172.714,0.0,bottom
D25,114.1632,-142.234,0.0,bottom
D26,114.1632,-152.394,0.0,bottom
D27,114.1632,-162.554,0.0,bottom
D28,114.1632,-172.714,0.0,bottom
D29,123.8152,-142.234,0.0,bottom
D3,56.2512,-162.554,0.0,bottom
D30,123.8152,-152.394,0.0,bottom
D31,123.8152,-162.554,0.0,bottom
D32,123.8152,-172.714,0.0,bottom
D33,133.4672,-142.234,0.0,bottom
D34,133.4672,-152.394,0.0,bottom
D35,133.0862,-162.427,0.0,bottom
D36,133.4672,-172.714,0.0,bottom
D37,143.1192,-142.234,0.0,bottom
D38,143.1192,-152.394,0.0,bottom
D39,143.1192,-162.554,0.0,bottom
D4,56.2512,-172.714,0.0,bottom
D40,143.1192,-172.714,0.0,bottom
D41,123.952,-132.08,0.0,bottom
D42,104.521,-132.08,0.0,bottom
D43,104.521,-121.92,0.0,bottom
D44,85.217,-182.874,0.0,bottom
D45,133.477,-132.08,0.0,bottom
D46,114.1632,-132.074,0.0,bottom
D47,114.3,-182.874,0.0,bottom
D48,99.695,-182.88,0.0,bottom
D49,94.869,-121.92,0.0,bottom
D5,65.9032,-142.234,0.0,bottom
D50,94.8592,-132.074,0.0,bottom
D51,85.2072,-132.074,0.0,bottom
D52,65.913,-182.88,0.0,bottom
D53,75.565,-182.874,0.0,bottom
D54,143.1192,-132.074,0.0,bottom
D55,114.173,-121.92,0.0,bottom
D56,133.6138,-182.88,0.0,bottom
D57,123.9618,-182.88,0.0,bottom
D58,65.904,-121.9084,0.0,bottom
D59,65.904,-132.0176,0.0,bottom
D6,65.9032,-152.394,0.0,bottom
D60,56.0996,-131.9922,0.0,bottom
D61,75.429,-132.1446,0.0,bottom
D62,85.217,-121.92,0.0,bottom
D63,137.033,-109.093,90.0,top
D64,126.9492,-109.093,90.0,top
D65,82.8548,-50.292,90.0,bottom
D7,65.9032,-162.554,0.0,bottom
D8,65.9032,-172.714,0.0,bottom
D9,75.5552,-142.234,0.0,bottom
J1,86.660673,-107.594817,90.0,top
J10,134.161338,-33.7451,180.0,bottom
J2,114.211,-58.324,0.0,top
J3,86.664,-99.98,90.0,top
J4,103.124,-99.949,270.0,top
J5,52.197,-77.3176,0.0,top
J6,144.903,-91.012,0.0,bottom
J8,131.7598,-88.3704,0.0,bottom
J9,52.07,-39.4462,180.0,top
M1,66.8528,-62.7634,180.0,top
M2,66.167,-29.2354,180.0,top
M3,66.5634,-55.516,0.0,top
M4,66.5238,-58.0406,0.0,top
Q1,129.032,-55.3212,0.0,bottom
Q2,82.8802,-63.0936,180.0,bottom
R1,117.983,-110.49,180.0,bottom
R10,142.239999,-59.7248,90.0,bottom
R11,129.8702,-70.2056,180.0,bottom
R12,129.8702,-65.3796,180.0,bottom
R13,137.033,-82.169,90.0,bottom
R14,129.8956,-75.0316,0.0,bottom
R15,70.0825,-43.053,180.0,bottom
R16,64.3636,-73.6346,0.0,bottom
R17,64.3382,-71.2216,0.0,bottom
R18,63.9318,-43.0276,180.0,bottom
R19,68.8086,-78.9686,0.0,bottom
R2,117.983,-107.569,180.0,bottom
R3,125.603,-62.6364,0.0,bottom
R4,131.6482,-62.6618,0.0,bottom
R5,82.3468,-54.483,270.0,bottom
R6,84.5058,-54.483,270.0,bottom
R7,86.741,-47.371,270.0,bottom
R8,139.954,-59.7248,90.0,bottom
R9,147.065999,-59.7248,90.0,bottom
